id,metric_id,dimension_id,metric_weightage,usm_project_id,baseline_value,priority,business_impact
601,755,216,100,27,NULL,NULL,NULL
602,756,216,100,27,NULL,NULL,NULL
603,757,216,100,27,NULL,NULL,NULL
604,758,216,100,27,NULL,NULL,NULL
605,759,216,100,27,NULL,NULL,NULL
606,760,216,100,27,NULL,NULL,NULL
769,886,329,100,1,NULL,NULL,NULL
770,NULL,331,100,1,NULL,NULL,NULL
771,887,332,100,1,NULL,NULL,NULL
772,NULL,333,100,1,NULL,NULL,NULL
773,NULL,334,100,1,NULL,NULL,NULL
774,888,336,100,1,NULL,NULL,NULL
775,889,336,100,1,NULL,NULL,NULL
776,890,338,100,1,NULL,NULL,NULL
777,891,339,100,1,NULL,NULL,NULL
778,892,340,100,1,NULL,NULL,NULL
779,893,341,100,1,NULL,NULL,NULL
780,894,342,100,1,NULL,NULL,NULL
781,895,343,100,1,NULL,NULL,NULL
782,NULL,344,100,1,NULL,NULL,NULL
783,896,336,100,1,NULL,NULL,NULL
784,897,343,100,1,NULL,NULL,NULL
785,898,345,100,1,NULL,NULL,NULL
786,NULL,346,100,1,NULL,NULL,NULL
787,899,347,100,1,NULL,NULL,NULL
788,900,348,100,1,NULL,NULL,NULL
789,901,349,100,1,NULL,NULL,NULL
790,902,350,100,1,NULL,NULL,NULL
791,903,352,100,1,NULL,NULL,NULL
792,904,353,100,1,NULL,NULL,NULL
793,905,354,100,1,NULL,NULL,NULL
794,906,355,100,1,NULL,NULL,NULL
795,907,356,100,1,NULL,NULL,NULL
796,908,353,100,1,NULL,NULL,NULL
797,909,354,100,1,NULL,NULL,NULL
866,NULL,3282,100,1,NULL,NULL,NULL
867,NULL,3283,100,1,NULL,NULL,NULL
868,NULL,3284,100,1,NULL,NULL,NULL
869,NULL,3285,100,1,NULL,NULL,NULL
870,NULL,3287,100,1,NULL,NULL,NULL
871,NULL,3288,100,1,NULL,NULL,NULL
872,NULL,3289,100,1,NULL,NULL,NULL
874,NULL,3292,100,1,NULL,NULL,NULL
875,NULL,3293,100,1,NULL,NULL,NULL
877,NULL,3296,100,1,NULL,NULL,NULL
878,NULL,3297,100,1,NULL,NULL,NULL
879,NULL,3299,100,1,NULL,NULL,NULL
880,NULL,3300,100,1,NULL,NULL,NULL
908,1010,3318,100,69,NULL,NULL,NULL
909,1011,3318,100,69,NULL,NULL,NULL
910,1012,3318,100,69,NULL,NULL,NULL
911,1013,3320,100,69,NULL,NULL,NULL
912,1014,3320,100,69,NULL,NULL,NULL
913,1015,3320,100,69,NULL,NULL,NULL
914,1016,3321,100,69,NULL,NULL,NULL
