id,project_id,color_type,colour,dataset_name,datasource_name,y_axis,chart_type,widget_id
1076,2,palette,NULL,Weekly for ICASBot,essedummaster,0,19,1004
1077,2,palette,NULL,Weekly for ICASBot,essedummaster,0,19,1005
1078,2,palette,NULL,Weekly for TestBot2,essedummaster,0,19,1006
1079,2,palette,NULL,Monthly for AcmeBot,essedummaster,0,19,1007
1080,2,palette,NULL,Monthly for ICASBot,essedummaster,0,19,1008
1081,2,palette,NULL,Monthly for TestBot,essedummaster,0,19,1009
1082,2,palette,NULL,Monthly for TestBot2,essedummaster,0,19,1010
1083,2,palette,NULL,node_utilisation,essedummaster,0,3,1011
1084,2,fixed,#7B39B1,Nodewise status,essedummaster,NULL,NULL,1012
1085,2,fixed,#7B39B1,cases_count,essedummaster,NULL,NULL,1013
1086,2,fixed,#7B39B1,Critical Cases,essedummaster,NULL,NULL,1014
1087,2,fixed,#7B39B1,High Priority Cases,essedummaster,NULL,NULL,1015
1088,2,fixed,#7B39B1,Low priority cases,essedummaster,NULL,NULL,1016
1089,2,palette,NULL,cases by category,essedummaster,0,19,1017
1090,2,palette,NULL,cases by state,essedummaster,0,19,1018
1091,2,fixed,#7B39B1,P1 cases with SLA percentage,essedummaster,NULL,NULL,1019
1092,2,dynamic,,Cluster_feeback_table,essedummaster,NULL,12,1020
1093,2,dynamic,,Rev_Cluster_feeback_table,essedummaster,NULL,12,1021
220307,2,"fixed","#7B39B1","LEONGRM_56554","leo1311","NULL","NULL",212859
220308,2,"dynamic","","LEONGRM_30206","leo1311","NULL",12,212860
220309,2,"dynamic","","LEONGRMC78819","leo1311",0,19,212861
220310,2,"dynamic","","LEONGRMN94569","leo1311",0,1,212862
220311,2,"dynamic","","LEONGRMC27160","leo1311",0,6,212863
220312,2,"dynamic","","LEONGRMC18077","leo1311","NULL",12,212864
220288,2,"fixed","#7B39B1","LEOSNDX_26164","leo1311","NULL","NULL",212840
220289,2,"dynamic","","LEOSNDX_30522","leo1311","NULL",12,212841
220290,2,"dynamic","","LEOSNDX_51588","leo1311",0,19,212842
220291,2,"dynamic","","LEOSNDX_54139","leo1311",0,1,212843
220292,2,"dynamic","","LEOSNDX_93782","leo1311",0,6,212844
220293,2,"dynamic","","LEOSNDX_85988","leo1311","NULL",12,212845
219612,2,"fixed","#7B39B1","LEOLD_CL91570","leo1311","NULL","NULL",212213
219613,2,"dynamic","","LEOLD_CL50102","leo1311","NULL",12,212214
219614,2,"dynamic","","LEOLD_CL91071","leo1311",0,19,212215
219615,2,"dynamic","","LEOLD_NC54083","leo1311",0,1,212216
219616,2,"dynamic","","LEOLD_CL24644","leo1311",0,6,212217
219617,2,"dynamic","","LEOLD_CL88316","leo1311","NULL",12,212218
219618,2,"fixed","#7B39B1","LEOKYPHR37150","leo1311","NULL","NULL",212219
219619,2,"dynamic","","LEOKYPHR68110","leo1311","NULL",12,212220
219620,2,"dynamic","","LEOKYPHR39553","leo1311",0,19,212221
219621,2,"dynamic","","LEOKYPHR78217","leo1311",0,1,212222
219622,2,"dynamic","","LEOKYPHR47337","leo1311",0,6,212223
219623,2,"dynamic","","LEOKYPHR19703","leo1311","NULL",12,212224
219627,2,"fixed","#7B39B1","LEOMNL_C35982","leo1311","NULL","NULL",212228
219628,2,"dynamic","","LEOMNL_C96331","leo1311","NULL",12,212229
219629,2,"dynamic","","LEOMNL_C97722","leo1311",0,19,212230
219630,2,"dynamic","","LEOMNL_N19320","leo1311",0,1,212231
219631,2,"dynamic","","LEOMNL_C47729","leo1311",0,6,212232
219632,2,"dynamic","","LEOMNL_C63843","leo1311","NULL",12,212233
220987,2,dynamic,NULL,emf_workflow,essedummaster,NULL,NULL,213492
220989,2,dynamic,NULL,emf_workflow_state,essedummaster,NULL,NULL,213490
220997,2,dynamic,"",worfkow_count,essedummaster,NULL,NULL,213500
220998,2,fixed,#42b37,workflow_success,essedummaster,NULL,NULL,213501
220999,2,fixed,#ea3434,workflow_failed,essedummaster,NULL,NULL,213502
221000,2,fixed,#749bb4,workflow_start,essedummaster,NULL,NULL,213503
221001,2,fixed,#dcee59,workfow_inprogress,essedummaster,NULL,NULL,213504
221002,2,dynamic,"",event_count,essedummaster,NULL,NULL,213505
221003,2,fixed,#dfd030,event_inprogress,essedummaster,NULL,NULL,213506
221004,2,fixed,#2bca68,events_completed,essedummaster,NULL,NULL,213507
221006,2,fixed,#db1414,events_failed,essedummaster,NULL,NULL,213509
221016,2,dynamic,"",workflow_typeCount,essedummaster,NULL,NULL,213519
221017,2,dynamic,#000000,event_typeCount,essedummaster,NULL,NULL,213520
221018,2,dynamic,"",emf_workflow_type,essedummaster,NULL,NULL,213521
221019,2,dynamic,"",emf_event_type,essedummaster,NULL,NULL,213522
221023,2,dynamic,"",event_details,essedummaster,NULL,NULL,213526
221024,2,dynamic,NULL,event_time,essedummaster,0,24,213527
