id,questionnaire_id,dimension_id,metric_id,ignore_zero_on_score_calc,calculation_method,threshold_maturity,na_score,multiplier
492,150,3339,NULL,1,AVERAGE,NULL,NULL,NULL
493,150,3340,NULL,1,AVERAGE,NULL,NULL,NULL
494,150,3316,NULL,1,AVERAGE,NULL,NULL,NULL
495,150,3343,NULL,1,AVERAGE,NULL,NULL,NULL
496,150,3344,NULL,1,AVERAGE,NULL,NULL,NULL
497,150,3345,NULL,1,AVERAGE,NULL,NULL,NULL
498,150,3346,NULL,1,AVERAGE,NULL,NULL,NULL
499,150,3347,NULL,1,AVERAGE,NULL,NULL,NULL
500,150,3348,NULL,1,AVERAGE,NULL,NULL,NULL
"802","168","3735","NULL","false","AVERAGE","NULL","NULL",NULL
"803","168","3733","NULL","false","AVERAGE","NULL","NULL",NULL
"804","168","3734","NULL","false","AVERAGE","NULL","NULL",NULL
"805","168","3736","NULL","false","AVERAGE","NULL","NULL",NULL
"806","168","3737","NULL","false","AVERAGE","NULL","NULL",NULL
769,167,3710,NULL,false,AVERAGE,NULL,NULL,NULL
770,167,3711,NULL,false,AVERAGE,NULL,NULL,NULL
771,167,3712,NULL,false,AVERAGE,NULL,NULL,NULL
772,167,3713,NULL,false,AVERAGE,NULL,NULL,NULL
773,167,3714,NULL,false,AVERAGE,NULL,NULL,NULL
774,167,3715,NULL,false,AVERAGE,NULL,NULL,NULL
775,167,3716,NULL,false,AVERAGE,NULL,NULL,NULL
776,167,3717,NULL,false,AVERAGE,NULL,NULL,NULL
777,167,3718,NULL,false,AVERAGE,NULL,NULL,NULL
778,167,3719,NULL,false,AVERAGE,NULL,NULL,NULL
779,167,3720,NULL,false,AVERAGE,NULL,NULL,NULL
780,167,3721,NULL,false,AVERAGE,NULL,NULL,NULL
781,167,3722,NULL,false,AVERAGE,NULL,NULL,NULL
782,167,3723,NULL,false,AVERAGE,NULL,NULL,NULL
783,167,3724,NULL,false,AVERAGE,NULL,NULL,NULL
784,167,3725,NULL,false,AVERAGE,NULL,NULL,NULL
785,167,3726,NULL,false,AVERAGE,NULL,NULL,NULL
786,167,3727,NULL,false,AVERAGE,NULL,NULL,NULL
787,167,3728,NULL,false,AVERAGE,NULL,NULL,NULL
788,167,3729,NULL,false,AVERAGE,NULL,NULL,NULL
789,167,3730,NULL,false,AVERAGE,NULL,NULL,NULL
790,167,3731,NULL,false,AVERAGE,NULL,NULL,NULL
791,167,NULL,1521,NULL,AVERAGE,NULL,NULL,NULL
792,167,NULL,1522,NULL,AVERAGE,NULL,NULL,NULL
793,167,NULL,1528,NULL,AVERAGE,NULL,NULL,NULL
794,167,NULL,1529,NULL,AVERAGE,NULL,NULL,NULL
795,167,NULL,1530,NULL,AVERAGE,NULL,NULL,NULL
796,167,NULL,1531,NULL,AVERAGE,NULL,NULL,NULL
797,167,NULL,1536,NULL,AVERAGE,NULL,NULL,NULL
798,167,NULL,1537,NULL,AVERAGE,NULL,NULL,NULL
799,167,NULL,1538,NULL,AVERAGE,NULL,NULL,NULL
800,167,NULL,1539,NULL,AVERAGE,NULL,NULL,NULL
801,167,NULL,1542,NULL,AVERAGE,NULL,NULL,NULL
"882","175","3844","NULL","false","AVERAGE","NULL","NULL","NULL"
"883","175","3846","NULL","false","AVERAGE","NULL","NULL","NULL"
"884","175","3847","NULL","false","AVERAGE","NULL","NULL","NULL"
"885","175","3848","NULL","false","AVERAGE","NULL","NULL","NULL"
"886","175","3850","NULL","false","AVERAGE","NULL","NULL","NULL"
"887","175","3852","NULL","false","AVERAGE","NULL","NULL","NULL"
"888","175","3853","NULL","false","AVERAGE","NULL","NULL","NULL"
"889","175","3854","NULL","false","AVERAGE","NULL","NULL","NULL"
"890","175","3855","NULL","false","AVERAGE","NULL","NULL","NULL"
"891","175","3857","NULL","false","AVERAGE","NULL","NULL","NULL"
"892","175","3858","NULL","false","AVERAGE","NULL","NULL","NULL"
"893","175","3859","NULL","false","AVERAGE","NULL","NULL","NULL"
"894","175","3860","NULL","false","AVERAGE","NULL","NULL","NULL"
"895","175","3845","NULL","false","AVERAGE","NULL","NULL","NULL"
"896","175","3849","NULL","false","AVERAGE","NULL","NULL","NULL"
"897","175","3851","NULL","false","AVERAGE","NULL","NULL","NULL"
"898","175","3856","NULL","false","AVERAGE","NULL","NULL","NULL"
