"id","module","permission"
"343","usm","usm-get-api-usm-role-roleByid"
"344","usm","usm-delete-api-usm-role-roleByid"
"345","usm","usm-get-api-usm-role-role-page"
"346","usm","usm-get-api-usm-role-permissionssByid"
"347","usm","usm-delete-api-usm-role-permissionssByid"
"348","usm","usm-get-api-usm-role-permissionss-page"
"349","usm","usm-get-api-usm-role-permissionss-formoduleByrole"
"350","usm","usm-get-api-usm-portfolioss-page"
"351","usm","usm-get-api-usm-portfoliosByid"
"352","usm","usm-delete-api-usm-portfoliosByid"
"353","usm","usm-get-api-usm-portfolios-page"
"354","usm","usm-get-api-usm-permissionssByid"
"355","usm","usm-delete-api-usm-permissionssByid"
"356","usm","usm-get-api-usm-permissionss-page"
"357","usm","usm-get-api-usm-permissions-api-permissionByid"
"358","usm","usm-get-api-usm-notificationss-page"
"359","usm","usm-get-api-usm-modulesByid"
"360","usm","usm-delete-api-usm-modulesByid"
"361","usm","usm-get-api-usm-modules-page"
"362","usm","usm-get-api-usm-module-organisationsByid"
"363","usm","usm-delete-api-usm-module-organisationsByid"
"364","usm","usm-get-api-usm-module-organisations-page"
"365","usm","usm-get-api-userssByid"
"366","usm","usm-delete-api-userssByid"
"367","usm","usm-get-api-userss-page"
"368","usm","usm-get-api-userss-checkemail"
"369","usm","usm-get-api-users-page"
"370","exp","exp-get-api-users-experimentsBytextAndprojectIdAndportfolioId"
"371","usm","usm-get-api-userApiPermissionsByid"
"372","usm","usm-delete-api-userApiPermissionsByid"
"373","usm","usm-get-api-userApiPermissions-page"
"374","usm","usm-get-api-user-unitsByid"
"375","usm","usm-delete-api-user-unitsByid"
"376","usm","usm-get-api-user-units-page"
"377","usm","usm-get-api-user-project-roless-page"
"378","usm","usm-get-api-user-project-rolesByid"
"379","usm","usm-delete-api-user-project-rolesByid"
"380","usm","usm-get-api-user-project-roles-page"
"381","usm","usm-get-api-user-project-roles-by-roleidByroleIdAndprojectId"
"382","dbs","dbs-get-api-user-project-role-dashboard"
"383","dbs","dbs-get-api-user-project-role-dashboard-list"
"384","svy","svy-get-api-svy-take-survey"
"385","svy","svy-get-api-svy-sub-dimensionsByid"
"386","svy","svy-delete-api-svy-sub-dimensionsByid"
"387","svy","svy-get-api-svy-sub-dimensions-page"
"388","svy","svy-get-api-svy-regionsByid"
"389","svy","svy-delete-api-svy-regionsByid"
"390","svy","svy-get-api-svy-regions-page"
"391","svy","svy-get-api-svy-questionsByid"
"392","svy","svy-delete-api-svy-questionsByid"
"393","svy","svy-get-api-svy-questions-page"
"394","svy","svy-get-api-svy-questionnairesByid"
"395","svy","svy-delete-api-svy-questionnairesByid"
"396","svy","svy-get-api-svy-questionnaires-page"
"397","svy","svy-get-api-svy-questionnaire-instancesByid"
"398","svy","svy-delete-api-svy-questionnaire-instancesByid"
"399","svy","svy-get-api-svy-questionnaire-instances-page"
"400","svy","svy-get-api-svy-question-optionsByid"
"401","svy","svy-delete-api-svy-question-optionsByid"
"402","svy","svy-get-api-svy-question-options-page"
"403","svy","svy-get-api-svy-lk-question-typesByid"
"404","svy","svy-delete-api-svy-lk-question-typesByid"
"405","svy","svy-get-api-svy-lk-question-types-page"
"406","svy","svy-get-api-svy-industrysByid"
"407","svy","svy-delete-api-svy-industrysByid"
"408","svy","svy-get-api-svy-industrys-page"
"409","svy","svy-get-api-svy-dimensionsByid"
"410","svy","svy-delete-api-svy-dimensionsByid"
"411","svy","svy-get-api-svy-dimensions-page"
"412","svy","svy-get-api-svy-countrysByid"
"413","svy","svy-get-api-svy-countrys-page"
"414","svy","svy-get-api-svy-client-detailssByid"
"415","svy","svy-delete-api-svy-client-detailssByid"
"416","svy","svy-get-api-svy-client-detailss-page"
"417","svy","svy-get-api-svy-checkmail"
"418","svy","svy-get-api-svy-checkip"
"419","svy","svy-get-api-svy-answersByid"
"420","svy","svy-delete-api-svy-answersByid"
"421","svy","svy-get-api-svy-answers-page"
"422","svy","svy-get-api-svy-answer-optionsByid"
"423","svy","svy-delete-api-svy-answer-optionsByid"
"424","svy","svy-get-api-svy-answer-options-page"
"425","cip","cip-get-api-schemaRegistry-searchByname"
"426","cip","cip-get-api-schemaRegistry-schemas"
"427","cip","cip-get-api-schemaRegistry-schemasBynameStrAndorg"
"428","cip","cip-get-api-schemaRegistry-schemas-all"
"429","cip","cip-get-api-schemaRegistry-schemas-allBygroup"
"430","cip","cip-get-api-schemaRegistry-schemaFormsByschemaAndorg"
"431","cip","cip-get-api-schemaRegistry-schemaFormTemplateBytemplatenameAndnameStrAndorg"
"432","cip","cip-get-api-schemaRegistry-groupingsBygroupAndorg"
"433","cip","cip-get-api-schemaRegistry-createNameByorgAndalias"
"434","cip","cip-get-api-schemaRegistry-all-lenBygroupAndorg"
"435","cip","cip-get-api-schemaRegistry-aliasByaliasAndorg"
"436","usm","usm-get-api-rolesByProcessIdByprocessIdAndfilterTypeAndroleId"
"437","usm","usm-get-api-rolesByProcessByprocess"
"438","usm","usm-get-api-rolesByNameAndProjectIdBynameAndprojectId"
"439","usm","usm-get-api-rolesByid"
"440","usm","usm-delete-api-rolesByid"
"441","usm","usm-get-api-roles-page"
"442","usm","usm-get-api-roleByNameByname"
"443","usm","usm-get-api-revokeAccessByuserEmail"
"444","usm","usm-get-api-projectss-page"
"445","usm","usm-get-api-projectsByid"
"446","usm","usm-delete-api-projectsByid"
"447","usm","usm-get-api-projects-page"
"448","usm","usm-get-api-projects-names"
"449","usm","usm-get-api-projects-getByname"
"450","usm","usm-get-api-project-by-userloginByuser_login"
"451","cip","cip-get-api-process-config-getNetworkGraphData"
"452","cip","cip-get-api-pipelinemodelsByid"
"453","cip","cip-delete-api-pipelinemodelsByid"
"454","cip","cip-get-api-pipelinemodels-update-percentByidAndpercent"
"455","cip","cip-get-api-pipelinemodels-update-local-percentByidAndpercent"
"456","cip","cip-get-api-pipelinemodels-loadscriptByid"
"457","cip","cip-get-api-pipelinemodels-isLocalActive"
